Genes	biological_process	cellular_component	molecular_function	kegg_pathway
RCL1	GO:0042254(ribosome biogenesis);GO:0006396(RNA processing)	GO:0005730(nucleolus)	GO:0003824(catalytic activity)	ko03008(Ribosome biogenesis in eukaryotes)
RDH8	GO:0006703(estrogen biosynthetic process)	GO:0005737(cytoplasm)	GO:0004303(estradiol 17-beta-dehydrogenase activity)	ko00830(Retinol metabolism)
RELB	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)	ko04010(MAPK signaling pathway);ko04064(NF-kappa B signaling pathway);ko04380(Osteoclast differentiation)
REXO2	NA	NA	GO:0000175(3-5-exoribonuclease activity);GO:0003676(nucleic acid binding)	ko03008(Ribosome biogenesis in eukaryotes)
RGN	NA	NA	GO:0005509(calcium ion binding);GO:0030234(enzyme regulator activity)	ko00053(Ascorbate and aldarate metabolism);ko00030(Pentose phosphate pathway);ko01200(Carbon metabolism);ko01220(Degradation of aromatic compounds);ko00930(Caprolactam degradation)
RHOAB	GO:0007264(small GTPase mediated signal transduction);GO:0042074(cell migration involved in gastrulation);GO:0040001(establishment of mitotic spindle localization);GO:0043066(negative regulation of apoptotic process);GO:0048840(otolith development);GO:0036342(post-anal tail morphogenesis);GO:0032956(regulation of actin cytoskeleton organization);GO:0035023(regulation of Rho protein signal transduction);GO:0007266(Rho protein signal transduction);GO:1902766(skeletal muscle satellite cell migration);GO:0016055(Wnt signaling pathway);GO:0044319(wound healing, spreading of cells)	GO:0005623(cell)	GO:0005525(GTP binding);GO:0003924(GTPase activity)	ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04144(Endocytosis);ko04011(MAPK signaling pathway - yeast);ko04072(Phospholipase D signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04071(Sphingolipid signaling pathway);ko04350(TGF-beta signaling pathway);ko04310(Wnt signaling pathway);ko04024(cAMP signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04150(mTOR signaling pathway);ko04270(Vascular smooth muscle contraction);ko04360(Axon guidance);ko04972(Pancreatic secretion);ko04921(Oxytocin signaling pathway);ko04062(Chemokine signaling pathway);ko04670(Leukocyte transendothelial migration);ko04621(NOD-like receptor signaling pathway);ko04611(Platelet activation);ko04660(T cell receptor signaling pathway);ko04722(Neurotrophin signaling pathway)
RIOK2	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko03008(Ribosome biogenesis in eukaryotes)
RNASEH1	NA	NA	GO:0000287(magnesium ion binding);GO:0003676(nucleic acid binding);GO:0004523(RNA-DNA hybrid ribonuclease activity)	ko03030(DNA replication)
RNF41	NA	NA	GO:0061630(ubiquitin protein ligase activity);GO:0008270(zinc ion binding)	ko04144(Endocytosis)
RNF7	NA	NA	GO:0008270(zinc ion binding)	ko04120(Ubiquitin mediated proteolysis)
RPE	GO:0005975(carbohydrate metabolic process);GO:0060271(cilium assembly);GO:0006098(pentose-phosphate shunt)	NA	GO:0046872(metal ion binding);GO:0004750(ribulose-phosphate 3-epimerase activity)	ko00040(Pentose and glucuronate interconversions);ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
RPIA	GO:0009052(pentose-phosphate shunt, non-oxidative branch)	NA	GO:0004751(ribose-5-phosphate isomerase activity)	ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
RPL10	GO:0006412(translation);GO:0007420(brain development);GO:1990403(embryonic brain development)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome);GO:0045182(translation regulator activity)	ko03010(Ribosome)
RPL10A	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL11	GO:0006915(apoptotic process);GO:0043009(chordate embryonic development);GO:0048821(erythrocyte development);GO:0042593(glucose homeostasis);GO:0042541(hemoglobin biosynthetic process);GO:0045088(regulation of innate immune response);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL12	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL13	GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL13A	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL14	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL15	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL17	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL18	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL18A	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL19	GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL21	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL22	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL22L1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL23	GO:0006412(translation);GO:0072717(cellular response to actinomycin D);GO:0071157(negative regulation of cell cycle arrest);GO:0000122(negative regulation of transcription by RNA polymerase II);GO:1904667(negative regulation of ubiquitin protein ligase activity);GO:2000059(negative regulation of ubiquitin-dependent protein catabolic process);GO:0071158(positive regulation of cell cycle arrest);GO:0008284(positive regulation of cell population proliferation);GO:0010628(positive regulation of gene expression);GO:1901798(positive regulation of signal transduction by p53 class mediator);GO:0050821(protein stabilization);GO:0032986(protein-DNA complex disassembly)	GO:0022625(cytosolic large ribosomal subunit);GO:0005730(nucleolus);GO:0014069(postsynaptic density);GO:0005737(cytoplasm);GO:0022626(cytosolic ribosome);GO:0005654(nucleoplasm);GO:0032991(protein-containing complex);GO:0005840(ribosome);GO:0098556(cytoplasmic side of rough endoplasmic reticulum membrane);GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome);GO:0070180(large ribosomal subunit rRNA binding);GO:0001223(transcription coactivator binding);GO:1990948(ubiquitin ligase inhibitor activity);GO:0031625(ubiquitin protein ligase binding)	ko03010(Ribosome)
RPL23A	GO:0031016(pancreas development);GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL26	GO:0060059(embryonic retina morphogenesis in camera-type eye);GO:0007634(optokinetic behavior);GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL28	GO:0043009(chordate embryonic development);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL29	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL3	GO:0031017(exocrine pancreas development);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL30	NA	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL31	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL32	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL34	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL35	GO:0006412(translation);GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0051726(regulation of cell cycle)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL35A	GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL36	GO:0006412(translation);GO:0007420(brain development);GO:0051726(regulation of cell cycle)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL36A	GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL37	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL37A	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL39	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL4-A	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL5	GO:0006412(translation)	GO:0005840(ribosome)	GO:0008097(5S rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL6	GO:0043009(chordate embryonic development);GO:0031016(pancreas development);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL7	GO:0000463(maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0051726(regulation of cell cycle)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL7A	GO:0042254(ribosome biogenesis)	GO:1990904(ribonucleoprotein complex)	NA	ko03010(Ribosome)
RPL8	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPL9	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPLP0	GO:0002181(cytoplasmic translation);GO:0000027(ribosomal large subunit assembly);GO:0007155(cell adhesion);GO:0042254(ribosome biogenesis)	GO:0022625(cytosolic large ribosomal subunit);GO:0016021(integral component of membrane);GO:0005840(ribosome)	GO:0070180(large ribosomal subunit rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPLP1	GO:0030218(erythrocyte differentiation);GO:0006414(translational elongation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPLP2	GO:0006414(translational elongation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPN1	GO:0006486(protein glycosylation)	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	GO:0004579(dolichyl-diphosphooligosaccharide-protein glycotransferase activity)	ko04141(Protein processing in endoplasmic reticulum);ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
RPN2	GO:0006487(protein N-linked glycosylation)	GO:0016021(integral component of membrane);GO:0008250(oligosaccharyltransferase complex)	NA	ko04141(Protein processing in endoplasmic reticulum);ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
RPS10	GO:0000028(ribosomal small subunit assembly)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS11	GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS12	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS13	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS14	GO:0030218(erythrocyte differentiation);GO:0030490(maturation of SSU-rRNA);GO:0000462(maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0000028(ribosomal small subunit assembly);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0005730(nucleolus);GO:0014069(postsynaptic density)	GO:0048027(mRNA 5-UTR binding);GO:0003723(RNA binding);GO:0070181(small ribosomal subunit rRNA binding);GO:0003735(structural constituent of ribosome);GO:0045182(translation regulator activity)	ko03010(Ribosome)
RPS15	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS15A	GO:0007420(brain development);GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS16	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS17	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS18	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS19	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS2	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS20	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS21	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS23	GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS24	GO:0060216(definitive hemopoiesis);GO:0060215(primitive hemopoiesis);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS25	NA	GO:0005840(ribosome)	NA	ko03010(Ribosome)
RPS26	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS27	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS27A	GO:0019941(modification-dependent protein catabolic process);GO:0016567(protein ubiquitination);GO:0006412(translation)	GO:0005737(cytoplasm);GO:0022627(cytosolic small ribosomal subunit);GO:0005634(nucleus);GO:0005840(ribosome)	GO:0031386(protein tag);GO:0003735(structural constituent of ribosome);GO:0031625(ubiquitin protein ligase binding);GO:0046872(metal ion binding)	ko03010(Ribosome)
RPS27L	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS28	GO:0006412(translation);GO:0002181(cytoplasmic translation);GO:0030490(maturation of SSU-rRNA);GO:0000028(ribosomal small subunit assembly)	GO:0005840(ribosome);GO:0098556(cytoplasmic side of rough endoplasmic reticulum membrane);GO:0022627(cytosolic small ribosomal subunit);GO:0042788(polysomal ribosome)	GO:0003735(structural constituent of ribosome);GO:0016787(hydrolase activity)	ko03010(Ribosome)
RPS29	GO:0006412(translation);GO:0002181(cytoplasmic translation)	GO:0005840(ribosome);GO:0022627(cytosolic small ribosomal subunit);GO:0042788(polysomal ribosome)	GO:0003735(structural constituent of ribosome);GO:0008270(zinc ion binding);GO:0016787(hydrolase activity);GO:0003723(RNA binding)	ko03010(Ribosome)
RPS3	GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS3A	GO:0043009(chordate embryonic development);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS4X	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS5	GO:0006450(regulation of translational fidelity);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003729(mRNA binding);GO:0003735(structural constituent of ribosome);GO:0003723(RNA binding)	ko03010(Ribosome)
RPS5A	GO:0006450(regulation of translational fidelity);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003729(mRNA binding);GO:0003735(structural constituent of ribosome);GO:0003723(RNA binding)	ko03010(Ribosome)
RPS6	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko04371(Apelin signaling pathway);ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway);ko03010(Ribosome);ko04910(Insulin signaling pathway)
RPS6KB1	GO:0007165(signal transduction)	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04140(Autophagy - animal);ko04152(AMPK signaling pathway);ko04371(Apelin signaling pathway);ko04012(ErbB signaling pathway);ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04350(TGF-beta signaling pathway);ko04150(mTOR signaling pathway);ko04211(Longevity regulating pathway - mammal);ko04213(Longevity regulating pathway - multiple species);ko04212(Longevity regulating pathway - worm);ko04910(Insulin signaling pathway);ko04666(Fc gamma R-mediated phagocytosis)
RPS7	GO:0043009(chordate embryonic development);GO:0030097(hemopoiesis);GO:0051726(regulation of cell cycle);GO:0042274(ribosomal small subunit biogenesis);GO:0006364(rRNA processing);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0032040(small-subunit processome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPS9	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RPSA	GO:0000028(ribosomal small subunit assembly);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0005634(nucleus);GO:0005886(plasma membrane)	GO:0043236(laminin binding);GO:0005055(laminin receptor activity);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RRAGA	GO:0022010(central nervous system myelination);GO:2000425(regulation of apoptotic cell clearance);GO:1905671(regulation of lysosome organization)	NA	GO:0005525(GTP binding)	ko04140(Autophagy - animal);ko04150(mTOR signaling pathway)
RRAGC	NA	NA	GO:0005525(GTP binding)	ko04140(Autophagy - animal);ko04150(mTOR signaling pathway)
RRBP1	GO:0015031(protein transport)	GO:0030176(integral component of endoplasmic reticulum membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
RRP7A	NA	NA	GO:0003676(nucleic acid binding);GO:0003723(RNA binding)	ko03008(Ribosome biogenesis in eukaryotes)
RSL24D1	GO:1902626(assembly of large subunit precursor of preribosome);GO:0000027(ribosomal large subunit assembly);GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
RUVBL1	GO:0006310(DNA recombination);GO:0006281(DNA repair)	GO:0031011(Ino80 complex);GO:0035267(NuA4 histone acetyltransferase complex);GO:0097255(R2TP complex)	GO:0043139(5-3 DNA helicase activity);GO:0005524(ATP binding)	ko04310(Wnt signaling pathway)
RXRBA	NA	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity);GO:0043565(sequence-specific DNA binding);GO:0003707(steroid hormone receptor activity);GO:0008270(zinc ion binding)	ko04920(Adipocytokine signaling pathway);ko03320(PPAR signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04659(Th17 cell differentiation)
RXRGB	NA	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity);GO:0043565(sequence-specific DNA binding);GO:0003707(steroid hormone receptor activity);GO:0008270(zinc ion binding)	ko04920(Adipocytokine signaling pathway);ko03320(PPAR signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04659(Th17 cell differentiation)
SAR1B	GO:0006886(intracellular protein transport);GO:0016192(vesicle-mediated transport);GO:0007417(central nervous system development);GO:0048703(embryonic viscerocranium morphogenesis);GO:0030299(intestinal cholesterol absorption);GO:0035265(organ growth)	GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus)	GO:0005525(GTP binding)	ko04141(Protein processing in endoplasmic reticulum)
SARS	GO:0006434(seryl-tRNA aminoacylation);GO:0001569(branching involved in blood vessel morphogenesis);GO:0061300(cerebellum vasculature development);GO:1903671(negative regulation of sprouting angiogenesis);GO:1904046(negative regulation of vascular endothelial growth factor production)	GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0004828(serine-tRNA ligase activity)	ko00970(Aminoacyl-tRNA biosynthesis)
SARS2	GO:0006434(seryl-tRNA aminoacylation)	NA	GO:0005524(ATP binding);GO:0004828(serine-tRNA ligase activity)	ko00970(Aminoacyl-tRNA biosynthesis)
SART1	GO:0000398(mRNA splicing, via spliceosome)	NA	NA	ko03040(Spliceosome)
SAT1	NA	NA	GO:0004145(diamine N-acetyltransferase activity);GO:0008080(N-acetyltransferase activity)	ko04216(Ferroptosis);ko00330(Arginine and proline metabolism)
SBDS	GO:0031017(exocrine pancreas development);GO:0030851(granulocyte differentiation);GO:0042256(mature ribosome assembly)	NA	NA	ko03008(Ribosome biogenesis in eukaryotes)
SC5D	GO:0008610(lipid biosynthetic process);GO:0001878(response to yeast)	GO:0016021(integral component of membrane)	GO:0005506(iron ion binding);GO:0016491(oxidoreductase activity)	ko00100(Steroid biosynthesis)
SCARB2	NA	GO:0016021(integral component of membrane);GO:0005764(lysosome)	GO:0005044(scavenger receptor activity)	ko04142(Lysosome)
SCP2	NA	NA	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)	ko04146(Peroxisome);ko00120(Primary bile acid biosynthesis);ko03320(PPAR signaling pathway)
SDC2	NA	GO:0016021(integral component of membrane)	NA	ko04514(Cell adhesion molecules (CAMs))
SDHA	GO:0022900(electron transport chain);GO:0006099(tricarboxylic acid cycle)	GO:0005743(mitochondrial inner membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0008177(succinate dehydrogenase (ubiquinone) activity)	ko00020(Citrate cycle (TCA cycle));ko00190(Oxidative phosphorylation);ko01200(Carbon metabolism)
SDHB	GO:0006099(tricarboxylic acid cycle)	GO:0005743(mitochondrial inner membrane)	GO:0051537(2 iron, 2 sulfur cluster binding);GO:0051538(3 iron, 4 sulfur cluster binding);GO:0051539(4 iron, 4 sulfur cluster binding);GO:0009055(electron transfer activity);GO:0046872(metal ion binding);GO:0008177(succinate dehydrogenase (ubiquinone) activity)	ko00020(Citrate cycle (TCA cycle));ko00190(Oxidative phosphorylation);ko01200(Carbon metabolism)
SDHC	GO:0006099(tricarboxylic acid cycle)	GO:0016021(integral component of membrane);GO:0045281(succinate dehydrogenase complex)	GO:0009055(electron transfer activity);GO:0046872(metal ion binding);GO:0000104(succinate dehydrogenase activity)	ko00020(Citrate cycle (TCA cycle));ko00190(Oxidative phosphorylation);ko01200(Carbon metabolism)
SDR16C5	NA	NA	GO:0016491(oxidoreductase activity)	ko00830(Retinol metabolism)
SEC11A	GO:0006465(signal peptide processing)	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	GO:0008236(serine-type peptidase activity)	ko03060(Protein export)
SEC13	GO:0051216(cartilage development);GO:0090114(COPII-coated vesicle budding);GO:0055123(digestive system development);GO:0007029(endoplasmic reticulum organization);GO:0070278(extracellular matrix constituent secretion);GO:0042462(eye photoreceptor cell development);GO:0001889(liver development);GO:0036372(opsin transport);GO:1904263(positive regulation of TORC1 signaling);GO:0010842(retina layer formation);GO:0015031(protein transport)	GO:0030127(COPII vesicle coat);GO:0070971(endoplasmic reticulum exit site);GO:0000139(Golgi membrane)	GO:0005198(structural molecule activity)	ko04150(mTOR signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko03013(RNA transport)
SEC22BB	GO:0016192(vesicle-mediated transport)	GO:0016021(integral component of membrane)	NA	ko04145(Phagosome);ko04130(SNARE interactions in vesicular transport)
SEC23A	GO:0090114(COPII-coated vesicle budding);GO:0006886(intracellular protein transport);GO:0051216(cartilage development);GO:0048702(embryonic neurocranium morphogenesis);GO:0048821(erythrocyte development)	GO:0030127(COPII vesicle coat);GO:0005829(cytosol);GO:0005789(endoplasmic reticulum membrane);GO:0000139(Golgi membrane)	GO:0008270(zinc ion binding)	ko04141(Protein processing in endoplasmic reticulum)
SEC61AL1	GO:0015031(protein transport)	GO:0016021(integral component of membrane)	NA	ko04145(Phagosome);ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum)
SEC61B	GO:0006886(intracellular protein transport)	GO:0016021(integral component of membrane);GO:0005784(Sec61 translocon complex)	NA	ko04145(Phagosome);ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum)
SEC61G	GO:0006605(protein targeting)	GO:0016021(integral component of membrane)	GO:0015450(P-P-bond-hydrolysis-driven protein transmembrane transporter activity)	ko04145(Phagosome);ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum)
SEC62	GO:0031204(posttranslational protein targeting to membrane, translocation)	GO:0005783(endoplasmic reticulum);GO:0030176(integral component of endoplasmic reticulum membrane);GO:0016020(membrane)	NA	ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum)
SEH1L	GO:1904263(positive regulation of TORC1 signaling);GO:0015031(protein transport)	NA	GO:0005198(structural molecule activity)	ko04150(mTOR signaling pathway);ko03013(RNA transport)
SELENOS	GO:0006886(intracellular protein transport)	GO:0030176(integral component of endoplasmic reticulum membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
SEM1	GO:0006406(mRNA export from nucleus);GO:0043248(proteasome assembly)	GO:0008541(proteasome regulatory particle, lid subcomplex)	NA	ko03050(Proteasome);ko03440(Homologous recombination)
SERPINA3-3	GO:0003081(regulation of systemic arterial blood pressure by renin-angiotensin)	GO:0005615(extracellular space)	NA	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
SERPINA3-8	GO:0003081(regulation of systemic arterial blood pressure by renin-angiotensin)	GO:0005615(extracellular space)	NA	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
SERPINA7	GO:0003081(regulation of systemic arterial blood pressure by renin-angiotensin)	GO:0005615(extracellular space)	NA	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
SERPINC1	GO:0071391(cellular response to estrogen stimulus);GO:2000266(regulation of blood coagulation, intrinsic pathway)	GO:0005615(extracellular space)	GO:0008201(heparin binding);GO:0004867(serine-type endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
SERPIND1	NA	GO:0005615(extracellular space)	NA	ko04610(Complement and coagulation cascades)
